"第一堂考试","郭大爷","用高级程序设计语言编写的程序称为","计算机","3","3","1","1638721e8d7111f","1638c3dfa241110","163b08d27a51115"
"第一堂考试","郭大爷","操作系统是计算机系统中的","计算机","1","1","1","1638721e8d7111f","1638c3dfa241110","163b08d27a51116"
"第一堂考试","郭大爷","目前网络传输介质中传输速率最高的是","计算机","3","3","1","1638721e8d7111f","1638c3dfa241110","163b08d27a51117"
"完善的考试","郭大爷","完整的计算机系统由（ ？）组成。","计算机组成原理","2","3","0","1638721e8d7111f","1638c769ae2111f","163b08d27a51118"
"完善的考试","郭大爷","用一个字节最多能编出（ ？ ）不同的码","计算机组成原理","2","4","0","1638721e8d7111f","1638c769ae2111f","163b08d27a51119"
"完善的考试","郭大爷","组成计算机的CPU的两大部件是","计算机组成原理","1","1","1","1638721e8d7111f","1638c769ae2111f","163b08d27a51120"
"完善的考试","富老师","完整的计算机系统由（ ？）组成。","计算机组成原理","1","3","0","1638716ea8f113j","1638c769ae2111f","163b08d27a51118"
"完善的考试","富老师","用一个字节最多能编出（ ？ ）不同的码","计算机组成原理","1","4","0","1638716ea8f113j","1638c769ae2111f","163b08d27a51119"
"完善的考试","富老师","组成计算机的CPU的两大部件是","计算机组成原理","1","1","1","1638716ea8f113j","1638c769ae2111f","163b08d27a51120"
"asdfasdf","管理员","问题1","qq","2","2","1","1","1638c9ac31b1112","163b08d276d1112"
"asdfasdf","管理员","问题2","rr","3","2","0","1","1638c9ac31b1112","163b08d27901113"
"asdfasdf","管理员","问题3","ww","3","2","0","1","1638c9ac31b1112","163b08d27a51114"
